"‚икиди забруднюючих речовин та дґоксиду вуглецю в атмосферне повґтрЯ
(1990Р2018 роки)

	ЋбсЯги викидґв забруднюючих речовин	Љрґм того, викиди дґоксиду вуглецю
	усього,
тис.т	у тому числґ	усього,
млн.т	у тому числґ
		стацґонарними джерелами	пересувними джерелами1		стацґонарними джерелами	пересувними джерелами1
1990	887,1	587,5	299,6	Й	Й	Й
1991	739,2	485,1	254,1	Й	Й	Й
1992	577,6	419,1	158,5	Й	Й	Й
1993	469,7	356,1	113,6	Й	Й	Й
1994	393,3	299,5	93,8	Й	Й	Й
1995	346,1	268,8	77,3	Й	Й	Й
1996	344,1	277,0	67,1	Й	Й	Й
1997	313,1	256,4	56,7	Й	Й	Й
1998	286,2	233,5	52,7	Й	Й	Й
1999	299,1	252,5	46,6	Й	Й	Й
2000	333,3	231,2	102,1	Й	Й	Й
2001	335,3	233,3	102,0	Й	Й	Й
2002	334,3	233,5	100,8	Й	Й	Й
2003	347,8	235,8	112,0	Й	Й	Й
2004	352,0	230,5	121,5	8,9	8,9	Й
2005	383,4	262,0	121,4	9,5	9,5	Й
2006	378,8	258,1	120,7	16,2	16,2	Й
2007	347,6	231,6	116,0	18,6	17,1	1,5
2008	331,8	218,3	113,4	17,5	16,0	1,5
2009	280,5	180,8	99,7	14,4	13,1	1,2
2010	326,1	217,5	108,6	14,9	13,6	1,4
2011	341,2	229,3	111,9	15,5	14,1	1,4
2012	316,0	207,6	108,4	13,9	12,6	1,3
2013	353,0	245,9	107,1	14,6	13,2	1,3
2014	296,6	206,7	89,9	14,1	13,0	1,1
2015	270,4	193,7	76,7	14,9	13,9	1,0
2016	167,0	167,0	Й	13,2	13,2	Й
2017	180,9	180,9	Й	14,0	14,0	Й
2018	174,7	174,7	Й	14,6	14,6	Й"
