"Розподіл постійного населення за окремими віковими групами
всього
населення
0-14
років
0-15
років
0-17
років
16-59
років
15-64
роки
18 років
і старше
60 років
і старше
65 років
і старше
1995 3846,3 767,9 820,9 926,2 2350,3 2577,7 2920,1 675,1 500,7
1996 3803,9 742,7 797,3 902,9 2331,1 2554,1 2901,0 675,5 507,1
1997 3757,4 716,4 769,0 876,4 2301,6 2536,0 2881,0 686,8 505,0
1998 3715,8 687,7 742,1 849,2 2257,1 2528,7 2866,6 716,6 499,4
1999 3679,5 654,2 712,9 819,9 2224,7 2538,4 2859,6 741,9 486,9
2000 3640,8 620,2 677,8 791,0 2202,6 2539,8 2849,8 760,4 480,8
2001 3600,3 587,0 643,5 759,9 2186,8 2529,4 2840,4 770,0 483,9
20021 3561,2 552,5 610,8 725,1 2173,4 2512,8 2836,1 777,0 495,9
2003 3529,5 523,0 578,6 693,5 2182,2 2481,9 2836,0 768,7 524,6
2004 3499,6 499,1 551,7 665,7 2196,7 2454,5 2833,9 751,2 546,0
2005 3472,9 480,9 529,8 638,3 2206,2 2429,6 2834,6 736,9 562,4
2006 3443,9 464,3 510,7 612,6 2215,4 2408,8 2831,3 717,8 570,8
2007 3419,6 453,9 497,5 593,2 2209,9 2390,0 2826,4 712,2 575,7
2008 3395,1 448,1 487,9 578,4 2202,9 2378,9 2816,7 704,3 568,1
2009 3370,9 448,1 484,6 567,9 2185,8 2370,4 2803,0 700,5 552,4
2010 3352,2 450,5 484,6 561,1 2158,8 2361,5 2791,1 708,8 540,2
2011 3333,2 453,3 485,5 556,4 2134,1 2355,8 2776,8 713,6 524,1
2012 3317,0 459,0 488,9 555,4 2109,6 2337,0 2761,6 718,5 521,0
2013 3304,5 467,2 495,5 557,7 2085,3 2320,3 2746,8 723,7 517,0
2014 3289,1 476,2 503,0 561,0 2058,7 2296,4 2728,1 727,4 516,5
2015 3273,3 486,6 512,4 567,4 2028,4 2262,6 2705,9 732,5 524,1
2016 3251,6 494,5 519,4 571,6 1999,2 2228,8 2680,0 733,0 528,2
2017 3227,1 499,6 525,0 575,3 1964,0 2196,2 2651,8 738,1 531,3
2018 3227,8 502,1 529,2 579,3 1946,2 2185,2 2648,5 752,4 540,5"
