"ђозподґл постґйного населеннЯ за окремими вґковими групами
всього
населеннЯ
0Р14
рокґв
0Р15
рокґв
0Р17
рокґв
16Р59
рокґв
15Р64
роки
18
рокґв ґ
старше
60
рокґв ґ
старше
65
рокґв ґ
старше
1995 1272,8 317,9 339,0 379,8 753,0 834,2 893,0 180,8 120,7
1996 1271,2 312,6 334,0 375,4 754,4 834,8 895,8 182,8 123,8
1997 1270,1 307,4 328,1 370,0 756,7 836,2 900,1 185,3 126,5
1998 1268,2 300,8 322,3 363,9 757,9 837,9 904,3 188,0 129,5
1999 1265,9 292,7 315,1 356,9 760,8 841,9 909,0 190,0 131,3
2000 1261,2 283,5 305,7 349,1 764,1 844,9 912,1 191,4 132,8
2001 1258,2 275,5 297,7 341,8 766,7 847,8 916,4 193,8 134,9
20021 1254,6 267,1 289,5 333,5 770,2 850,4 921,1 194,9 137,1
2003 1251,0 258,1 279,9 324,3 777,4 854,1 926,7 193,7 138,8
2004 1248,3 250,7 271,9 315,8 784,3 857,4 932,5 192,1 140,2
2005 1245,6 244,9 265,4 308,1 788,7 859,6 937,5 191,5 141,1
2006 1242,6 239,4 260,0 301,2 793,7 860,8 941,4 188,9 142,4
2007 1241,0 235,4 255,3 295,7 796,8 863,2 945,3 188,9 142,4
2008 1239,8 232,2 251,7 291,6 797,7 866,5 948,2 190,4 141,1
2009 1240,5 231,8 249,9 288,7 798,6 869,5 951,8 192,0 139,2
2010 1242,0 232,7 249,5 286,4 797,5 870,7 955,6 195,0 138,6
2011 1244,5 233,8 250,5 284,7 796,2 874,0 959,8 197,8 136,7
2012 1247,9 235,8 251,8 284,7 795,5 875,0 963,2 200,6 137,1
2013 1251,6 239,2 254,4 286,6 794,3 873,7 965,0 202,9 138,7
2014 1254,0 242,2 257,2 287,9 792,6 871,6 966,1 204,2 140,2
2015 1256,7 246,3 260,3 289,9 788,8 867,9 966,8 207,6 142,5
2016 1256,3 248,4 262,7 291,2 784,5 864,2 965,1 209,1 143,7
2017 1255,9 250,8 264,0 292,0 780,4 859,7 963,9 211,5 145,4
2018 1255,3 251,2 265,0 292,3 775,0 857,1 963,0 215,3 147,0"
